Overall#,Team,Player,Seasons,GP,G,A,TP,PIM,Draft Year,link,playername,position,is_fwd,is_def,is_goalie
44,St. Louis Blues,Aaron Palushaj (F),4,68,3,11,14,18,2007,https://www.eliteprospects.com/player/12513/aaron-palushaj,Aaron Palushaj ,F,1,0,0
45,Colorado Avalanche,Colby Cohen (D),1,3,0,0,0,4,2007,https://www.eliteprospects.com/player/12463/colby-cohen,Colby Cohen ,D,0,1,0
46,Washington Capitals,Theo Ruth (D),,,,,,,2007,https://www.eliteprospects.com/player/11459/theo-ruth,Theo Ruth ,D,0,1,0
47,Tampa Bay Lightning,Dana Tyrell (F),5,135,7,17,24,26,2007,https://www.eliteprospects.com/player/11638/dana-tyrell,Dana Tyrell ,F,1,0,0
48,New York Rangers,Antoine Lafleur (G),,,,,,,2007,https://www.eliteprospects.com/player/12121/antoine-lafleur,Antoine Lafleur ,G,0,0,1
49,Colorado Avalanche,Trevor Cann (G),,,,,,,2007,https://www.eliteprospects.com/player/11356/trevor-cann,Trevor Cann ,G,0,0,1
50,Dallas Stars,Nico Sacchetti (F),,,,,,,2007,https://www.eliteprospects.com/player/12509/nico-sacchetti,Nico Sacchetti ,F,1,0,0
51,Pittsburgh Penguins,Keven Veilleux (F),,,,,,,2007,https://www.eliteprospects.com/player/11402/keven-veilleux,Keven Veilleux ,F,1,0,0
52,Los Angeles Kings,Oscar Möller (F),3,87,12,14,26,22,2007,https://www.eliteprospects.com/player/5504/oscar-moller,Oscar Möller ,F,1,0,0
53,Columbus Blue Jackets,Will Weber (D),,,,,,,2007,https://www.eliteprospects.com/player/12515/will-weber,Will Weber ,D,0,1,0
54,Nashville Predators,Jeremy Smith (G),5,10,-,-,-,-,2007,https://www.eliteprospects.com/player/11341/jeremy-smith,Jeremy Smith ,G,0,0,1
55,Colorado Avalanche,T.J. Galiardi (F),7,321,44,61,105,136,2007,https://www.eliteprospects.com/player/12464/t.j.-galiardi,T.J. Galiardi ,F,1,0,0
56,Chicago Blackhawks,Akim Aliu (F),2,7,2,1,3,26,2007,https://www.eliteprospects.com/player/11116/akim-aliu,Akim Aliu ,F,1,0,0
57,New Jersey Devils,Mike Hoeffel (F),,,,,,,2007,https://www.eliteprospects.com/player/12457/mike-hoeffel,Mike Hoeffel ,F,1,0,0
58,Nashville Predators,Nick Spaling (F),7,437,52,72,124,120,2007,https://www.eliteprospects.com/player/12462/nick-spaling,Nick Spaling ,F,1,0,0
59,Buffalo Sabres,Drew Schiestel (D),,,,,,,2007,https://www.eliteprospects.com/player/12516/drew-schiestel,Drew Schiestel ,D,0,1,0
60,Ottawa Senators,Ruslan Bashkirov (F),,,,,,,2007,https://www.eliteprospects.com/player/9301/ruslan-bashkirov,Ruslan Bashkirov ,F,1,0,0
61,Los Angeles Kings,Wayne Simmonds (F),15,1025,263,262,525,1268,2007,https://www.eliteprospects.com/player/12517/wayne-simmonds,Wayne Simmonds ,F,1,0,0
62,New York Islanders,Mark Katic (D),1,11,0,1,1,4,2007,https://www.eliteprospects.com/player/11395/mark-katic,Mark Katic ,D,0,1,0
63,Anaheim Ducks,Maxime Macenauer (F),1,29,1,3,4,18,2007,https://www.eliteprospects.com/player/12518/maxime-macenauer,Maxime Macenauer ,F,1,0,0
64,Dallas Stars,Sergei Korostin (F),,,,,,,2007,https://www.eliteprospects.com/player/11864/sergei-korostin,Sergei Korostin ,F,1,0,0
65,Montréal Canadiens,Olivier Fortier (F),,,,,,,2007,https://www.eliteprospects.com/player/11391/olivier-fortier,Olivier Fortier ,F,1,0,0
66,Philadelphia Flyers,Garrett Klotz (F),,,,,,,2007,https://www.eliteprospects.com/player/12519/garrett-klotz,Garrett Klotz ,F,1,0,0
67,Atlanta Thrashers,Spencer Machacek (F),3,25,2,7,9,7,2007,https://www.eliteprospects.com/player/12505/spencer-machacek,Spencer Machacek ,F,1,0,0
68,Columbus Blue Jackets,Jake Hansen (F),,,,,,,2007,https://www.eliteprospects.com/player/12520/jake-hansen,Jake Hansen ,F,1,0,0
69,Chicago Blackhawks,Maxime Tanguay (F),,,,,,,2007,https://www.eliteprospects.com/player/11129/maxime-tanguay,Maxime Tanguay ,F,1,0,0
70,Calgary Flames,John Negrin (D),1,3,0,1,1,2,2007,https://www.eliteprospects.com/player/11398/john-negrin,John Negrin ,D,0,1,0
71,Florida Panthers,Yevgeni Dadonov (F),9,435,126,143,269,72,2007,https://www.eliteprospects.com/player/11859/yevgeni-dadonov,Yevgeni Dadonov ,F,1,0,0
72,Carolina Hurricanes,Drayson Bowman (F),6,180,15,18,33,53,2007,https://www.eliteprospects.com/player/12521/drayson-bowman,Drayson Bowman ,F,1,0,0
73,Montréal Canadiens,Yannick Weber (D),13,499,28,66,94,195,2007,https://www.eliteprospects.com/player/10615/yannick-weber,Yannick Weber ,D,0,1,0
74,Toronto Maple Leafs,Dale Mitchell (F),,,,,,,2007,https://www.eliteprospects.com/player/12113/dale-mitchell,Dale Mitchell ,F,1,0,0
75,Tampa Bay Lightning,Luca Cunti (F),,,,,,,2007,https://www.eliteprospects.com/player/10902/luca-cunti,Luca Cunti ,F,1,0,0
76,New York Islanders,Jason Gregoire (F),,,,,,,2007,https://www.eliteprospects.com/player/12522/jason-gregoire,Jason Gregoire ,F,1,0,0
77,Tampa Bay Lightning,Alex Killorn (F),11,749,179,244,423,442,2007,https://www.eliteprospects.com/player/12523/alex-killorn,Alex Killorn ,F,1,0,0
78,Pittsburgh Penguins,Robert Bortuzzo (D),12,507,18,51,69,470,2007,https://www.eliteprospects.com/player/12524/robert-bortuzzo,Robert Bortuzzo ,D,0,1,0
79,New Jersey Devils,Nick Palmieri (F),3,87,13,12,25,20,2007,https://www.eliteprospects.com/player/12525/nick-palmieri,Nick Palmieri ,F,1,0,0
80,Pittsburgh Penguins,Casey Pierro-Zabotel (F),,,,,,,2007,https://www.eliteprospects.com/player/11590/casey-pierro-zabotel,Casey Pierro-Zabotel ,F,1,0,0
81,Nashville Predators,Ryan Thang (F),1,1,0,0,0,0,2007,https://www.eliteprospects.com/player/11420/ryan-thang,Ryan Thang ,F,1,0,0
82,Los Angeles Kings,Bryan Cameron (F),,,,,,,2007,https://www.eliteprospects.com/player/11244/bryan-cameron,Bryan Cameron ,F,1,0,0
83,San Jose Sharks,Timo Pielmeier (G),1,1,-,-,-,-,2007,https://www.eliteprospects.com/player/11848/timo-pielmeier,Timo Pielmeier ,G,0,0,1
84,Washington Capitals,Phil DeSimone (F),,,,,,,2007,https://www.eliteprospects.com/player/12526/phil-desimone,Phil DeSimone ,F,1,0,0
85,St. Louis Blues,Brett Sonne (F),,,,,,,2007,https://www.eliteprospects.com/player/12527/brett-sonne,Brett Sonne ,F,1,0,0
86,Chicago Blackhawks,Josh Unice (G),,,,,,,2007,https://www.eliteprospects.com/player/11455/josh-unice,Josh Unice ,G,0,0,1
87,New Jersey Devils,Corbin McPherson (D),,,,,,,2007,https://www.eliteprospects.com/player/12528/corbin-mcpherson,Corbin McPherson ,D,0,1,0
88,Detroit Red Wings,Joakim Andersson (F),5,205,15,21,36,48,2007,https://www.eliteprospects.com/player/4087/joakim-andersson,Joakim Andersson ,F,1,0,0
89,Buffalo Sabres,Corey Tropp (F),4,149,6,21,27,133,2007,https://www.eliteprospects.com/player/12187/corey-tropp,Corey Tropp ,F,1,0,0
90,Ottawa Senators,Louie Caporusso (F),,,,,,,2007,https://www.eliteprospects.com/player/12529/louie-caporusso,Louie Caporusso ,F,1,0,0
91,San Jose Sharks,Tyson Sexsmith (G),1,0,-,-,-,-,2007,https://www.eliteprospects.com/player/11592/tyson-sexsmith,Tyson Sexsmith ,G,0,0,1
92,Anaheim Ducks,Justin Vaive (F),,,,,,,2007,https://www.eliteprospects.com/player/11468/justin-vaive,Justin Vaive ,F,1,0,0
93,Anaheim Ducks,Steven Kampfer (D),9,231,15,24,39,110,2007,https://www.eliteprospects.com/player/12530/steven-kampfer,Steven Kampfer ,D,0,1,0
94,Columbus Blue Jackets,Maxim Mayorov (F),4,22,2,1,3,2,2007,https://www.eliteprospects.com/player/12466/maxim-mayorov,Maxim Mayorov ,F,1,0,0
95,Los Angeles Kings,Alec Martinez (D),14,714,76,174,250,219,2007,https://www.eliteprospects.com/player/12531/alec-martinez,Alec Martinez ,D,0,1,0
96,St. Louis Blues,Cade Fairchild (D),1,5,0,1,1,0,2007,https://www.eliteprospects.com/player/9309/cade-fairchild,Cade Fairchild ,D,0,1,0
97,Edmonton Oilers,Linus Omark (F),3,79,8,24,32,40,2007,https://www.eliteprospects.com/player/4008/linus-omark,Linus Omark ,F,1,0,0
98,Anaheim Ducks,Sebastian Stefaniszin (G),,,,,,,2007,https://www.eliteprospects.com/player/12532/sebastian-stefaniszin,Sebastian Stefaniszin ,G,0,0,1
99,Toronto Maple Leafs,Matt Frattin (F),5,135,17,18,35,44,2007,https://www.eliteprospects.com/player/12534/matt-frattin,Matt Frattin ,F,1,0,0
100,St. Louis Blues,Travis Erstad (F),,,,,,,2007,https://www.eliteprospects.com/player/12535/travis-erstad,Travis Erstad ,F,1,0,0
101,Florida Panthers,Matt Rust (F),,,,,,,2007,https://www.eliteprospects.com/player/11464/matt-rust,Matt Rust ,F,1,0,0
102,Carolina Hurricanes,Justin McCrae (F),,,,,,,2007,https://www.eliteprospects.com/player/12536/justin-mccrae,Justin McCrae ,F,1,0,0
